date,open,high,low,close,volume
201010110900,295.01,296.69,294.5,296.14,3122664
201010111000,296.11,297.12,295.6,296.04,3476913
201010111100,296.02,296.62,295.85,296.07,1334916
201010111200,296.1,296.82,295.9,296.6,847392
201010111300,296.6,296.93,296.4,296.81,756967
201010111400,296.85,297.24,296.56,296.95,1552138
201010111500,296.95,297.08,294.6,295.36,3460046
201010111600,295.48,296.11,295.36,295.44,514087
201010120900,296.02,296.69,292.49,293.58,3914862
201010121000,293.58,297.2,293.5,296.9,3799395
201010121100,296.89,297.73,296.56,297.04,2128659
201010121200,297.03,297.37,296.73,296.93,1077323
201010121300,296.95,297.05,296.61,296.92,647617
201010121400,296.96,298.1,296.5,297.62,3131958
201010121500,297.59,299.5,297,298.74,4288581
201010121600,298.74,299.28,298.25,298.86,495625
201010130900,300.95,301.72,300,301.24,4192580
201010131000,301.25,301.78,300.51,301.34,3332341
201010131100,301.32,301.96,300.86,301.38,2412570
201010131200,301.38,301.52,300.8,300.89,1297275
201010131300,300.91,301.1,300,300.71,2287142
201010131400,300.72,301.2,299.8,300.64,2542471
201010131500,300.63,301.1,299.93,300.08,2933530
201010131600,300.14,301.11,300.08,301.11,2430797
201010140900,302.27,302.31,300.4,300.72,3171409
201010141000,300.72,302.47,300.6,302.16,2556359
201010141100,302.17,302.3,301.35,301.7,1882894
201010141200,301.68,302,300.88,301.36,1394682
201010141300,301.39,301.68,300.52,301.58,1664282
201010141400,301.54,301.58,300.8,300.94,1142387
201010141500,300.95,302.3,300.65,302.27,2303603
201010141600,302.25,305.4,300.14,305.24,665975
201010150900,305.9,307.45,304.91,306.92,6099267
201010151000,306.98,307.81,305.25,307.68,4808609
201010151100,307.68,310.47,307.3,309.46,5612681
201010151200,309.46,310.1,309.1,309.42,2533873
201010151300,309.42,310.26,309.4,310.2,1924787
201010151400,310.16,310.87,309.75,310.79,2762242
201010151500,310.78,315,310.15,314.97,7099796
201010151600,315,315.99,314.5,315.9,978121
201010180900,318.75,319,314.29,317.33,7718376
201010181000,317.35,317.9,316.1,316.75,4889031
201010181100,316.78,316.95,315.94,316.29,3197401
201010181200,316.29,316.77,315,315.14,2957158
201010181300,315.13,315.9,314.44,314.58,3273149
201010181400,314.55,316.3,314.37,315.55,3973068
201010181500,315.55,318.2,315.55,317.92,6441019
201010181600,317.99,318.46,292.75,297.85,2856165
201010190900,305.12,308,300.02,307.5,10773245
201010191000,307.53,313.77,306.62,311.72,10273212
201010191100,311.73,312.36,309.41,311.72,4567710
201010191200,311.78,312.7,311.06,312.07,2450525
201010191300,312.09,312.1,308.66,309.07,3074640
201010191400,309.07,309.88,306.68,308.92,4923495
201010191500,308.97,309.65,306.32,309.65,4920608
201010191600,309.5,309.69,308.32,308.7,280792
201010200900,308.77,310.8,307.91,308.88,3562880
201010201000,308.9,310.17,306.87,309.63,4455536
201010201100,309.68,313.5,309.15,312.49,4039855
201010201200,312.46,314.25,312.4,312.82,2644198
201010201300,312.82,313.44,312.05,312.27,2001203
201010201400,312.29,313.15,311.2,312.26,3597303
201010201500,312.26,312.92,309.92,310.53,4241577
201010201600,310.46,311.26,310.15,311.09,267010
201010210900,313.16,314.74,311.12,313.71,3368560
201010211000,313.59,314.3,312.36,312.85,3201018
201010211100,312.83,313.31,310.08,311.06,2880813
201010211200,311.05,311.13,309.01,310.2,1808364
201010211300,310.2,310.82,307.05,307.4,2102404
201010211400,307.47,309.15,306.8,309.03,2549428
201010211500,309.07,309.96,308.5,309.39,2580270
201010211600,309.5,310.27,308.3,308.3,426116
201010220900,309,310.28,307.83,308.38,2276260
201010221000,308.39,309.59,307.13,309.14,2434514
201010221100,309.1,309.5,308.2,308.2,1484135
201010221200,308.21,308.74,308.02,308.22,1098701
201010221300,308.17,308.5,307.5,307.61,1116806
201010221400,307.63,309,307.5,308.31,1383163
201010221500,308.31,308.49,306.3,307.88,2643871
201010221600,307.81,307.87,307.26,307.47,444739
201010250900,308.84,311.6,308.44,310.75,2779202
201010251000,310.75,311.36,309.6,309.77,3164909
201010251100,309.8,310.41,309.03,310.09,1351504
201010251200,310.05,310.29,309.56,309.82,706207
201010251300,309.8,310.71,309.73,310.45,857532
201010251400,310.45,310.8,309.9,310.23,1126185
201010251500,310.21,310.45,308.72,308.83,2748742
201010251600,308.84,309.1,308.57,308.72,650827
201010260900,307.34,307.4,305.65,306.41,2728982
201010261000,306.35,309.3,306.35,309.02,3275537
201010261100,309.03,309.74,308.27,309.41,1729089
201010261200,309.41,309.59,308.7,309.03,938016
201010261300,309.04,309.32,307.48,307.76,1454444
201010261400,307.69,308.49,307.44,308.01,1044078
201010261500,308.02,308.44,307.53,308.06,1776044
201010261600,308.05,309.16,307.2,307.4,568990
201010270900,308.25,309.9,306.82,308.11,2695345
201010271000,308.17,308.4,306.14,306.18,2535725
201010271100,306.27,307,305.6,306.7,1877354
201010271200,306.65,306.79,306.03,306.23,711978
201010271300,306.25,307.19,305.76,307.12,1198902
201010271400,307.11,307.65,306.45,307.08,1252936
201010271500,307.09,307.99,306.2,307.71,2094136
201010271600,307.83,307.83,303.8,306.36,886698
201010280900,307.78,308.49,305.43,305.84,2467187
201010281000,305.89,306.82,303.42,303.83,3851659
