date,open,high,low,close,volume
201010110900,295.01,295.05,294.8,294.85,16944
201010110915,294.83,294.84,294.5,294.77,29337
201010110930,294.74,296.69,294.74,296.07,1976032
201010110945,296.1,296.19,295,296.14,1100351
201010111000,296.11,296.7,295.9,296.07,1020237
201010111015,296.07,297.12,296,296.9,1131442
201010111030,296.9,297,296.24,296.43,603446
201010111045,296.41,296.41,295.6,296.04,721788
201010111100,296.02,296.3,295.85,296.16,385378
201010111115,296.16,296.46,296,296.24,292994
201010111130,296.27,296.62,296.14,296.22,354753
201010111145,296.26,296.4,295.92,296.07,301791
201010111200,296.1,296.33,295.9,296.29,248765
201010111215,296.27,296.47,296.13,296.35,175719
201010111230,296.34,296.82,296.26,296.58,238533
201010111245,296.61,296.62,296.28,296.6,184375
201010111300,296.6,296.76,296.4,296.72,199686
201010111315,296.72,296.75,296.56,296.59,115817
201010111330,296.62,296.74,296.5,296.74,132095
201010111345,296.71,296.93,296.57,296.81,309369
201010111400,296.85,296.89,296.59,296.65,220069
201010111415,296.61,296.79,296.56,296.73,181184
201010111430,296.73,297.2,296.57,297.19,617088
201010111445,297.2,297.24,296.83,296.95,533797
201010111500,296.95,297.08,296.25,296.41,496223
201010111515,296.41,296.61,295.59,295.68,826838
201010111530,295.67,295.83,294.6,295.3,1244912
201010111545,295.26,295.76,295.06,295.36,892073
201010111600,295.48,296.11,295.36,295.63,481830
201010111615,295.61,295.7,295.55,295.61,5233
201010111630,295.67,296.11,295.5,295.54,24780
201010111645,295.5,295.5,295.44,295.44,2244
201010120900,296.02,296.04,295.76,295.86,22751
201010120915,295.97,296.2,295.36,295.41,36769
201010120930,295.41,296.69,294.8,295.66,1696239
201010120945,295.65,295.71,292.49,293.58,2159103
201010121000,293.58,295.17,293.5,295.13,994365
201010121015,295.05,295.75,294.97,295.35,1018733
201010121030,295.35,296.18,295.33,296.03,652177
201010121045,296.07,297.2,295.9,296.9,1134120
201010121100,296.89,297.73,296.58,296.98,1035494
201010121115,296.97,297.16,296.7,297.11,426095
201010121130,297.11,297.32,296.7,296.78,367001
201010121145,296.78,297.13,296.56,297.04,300069
201010121200,297.03,297.2,296.82,296.88,289623
201010121215,296.91,297.37,296.83,296.83,365297
201010121230,296.88,297.1,296.73,297.07,202516
201010121245,297.04,297.08,296.78,296.93,219887
201010121300,296.95,297,296.78,296.96,126155
201010121315,296.95,297.05,296.81,296.99,159272
201010121330,296.96,296.99,296.61,296.75,195168
201010121345,296.75,297,296.72,296.92,167022
201010121400,296.96,297.55,296.5,297.43,1004814
201010121415,297.46,298.1,296.9,297.25,1145980
201010121430,297.3,297.43,296.57,297.16,572346
201010121445,297.2,297.66,297.19,297.62,408818
201010121500,297.59,297.78,297,297.68,633891
201010121515,297.64,298.98,297.64,298.89,1228857
201010121530,298.91,299.05,298.55,298.98,910265
201010121545,299,299.5,298.44,298.74,1515568
201010121600,298.74,298.74,298.4,298.6,217449
201010121615,298.41,299.28,298.25,299.02,253918
201010121630,298.95,299.19,298.54,298.9,17910
201010121645,298.99,299.1,298.86,298.86,6348
201010130900,300.95,300.95,300.54,300.75,47535
201010130915,300.77,300.9,300,300.1,81770
201010130930,300.2,300.96,300,300.71,2457294
201010130945,300.7,301.72,300.63,301.24,1605981
201010131000,301.25,301.59,301.15,301.43,1043532
201010131015,301.43,301.78,300.51,301.1,1173675
201010131030,301.08,301.29,300.75,300.99,538133
201010131045,301,301.35,300.68,301.34,577001
201010131100,301.32,301.69,300.86,301.26,860136
201010131115,301.24,301.96,301.2,301.3,865786
201010131130,301.28,301.5,301.15,301.23,418590
201010131145,301.23,301.5,301.11,301.38,268058
201010131200,301.38,301.45,301.25,301.29,310588
201010131215,301.27,301.52,301.16,301.42,277797
201010131230,301.41,301.48,300.9,301.07,365244
201010131245,301.05,301.21,300.8,300.89,343646
201010131300,300.91,300.97,300.04,300.12,799331
201010131315,300.13,300.5,300,300.37,693635
201010131330,300.38,301.1,300.29,300.82,517622
201010131345,300.82,300.82,300.5,300.71,276554
201010131400,300.72,301.19,300.65,301.15,455394
201010131415,301.15,301.2,300.48,300.74,519151
201010131430,300.72,301,300.15,300.38,620239
201010131445,300.4,300.71,299.8,300.64,947687
201010131500,300.63,300.8,300.12,300.49,587181
201010131515,300.49,301.1,300.45,300.62,650961
201010131530,300.58,300.87,300.45,300.74,533804
201010131545,300.72,300.75,299.93,300.08,1161584
201010131600,300.14,300.4,300.14,300.23,487064
201010131615,300.23,300.85,300.15,300.15,12649
201010131630,300.15,300.19,300.08,300.16,2525
201010131645,300.13,301.11,300.1,301.11,1928559
201010140900,302.27,302.31,301.2,301.4,82589
201010140915,301.44,301.68,301,301.35,32832
201010140930,301.69,302.12,301.03,301.92,1931360
201010140945,301.92,301.97,300.4,300.72,1124628
201010141000,300.72,301.77,300.6,301.53,829322
201010141015,301.6,302.21,301.53,301.86,769890
201010141030,301.83,302.1,301.7,301.97,444181
201010141045,302,302.47,301.96,302.16,512966
201010141100,302.17,302.3,301.82,301.98,415707
201010141115,301.98,302,301.45,301.79,470136
201010141130,301.8,301.88,301.37,301.44,439894
201010141145,301.43,301.73,301.35,301.7,557157
201010141200,301.68,302,301.62,301.81,329408
201010141215,301.8,301.81,301.2,301.37,346570
201010141230,301.37,301.61,300.88,301.27,465488
201010141245,301.27,301.55,301.16,301.36,253216
201010141300,301.39,301.4,300.52,301.02,673798
201010141315,301.01,301.24,300.71,301.17,315729
201010141330,301.18,301.68,300.96,301.32,391168
201010141345,301.32,301.6,301.12,301.58,283587
201010141400,301.54,301.58,301.17,301.41,214967
201010141415,301.42,301.42,301.02,301.05,243691
201010141430,301.05,301.2,300.8,301.07,318389
201010141445,301.09,301.25,300.8,300.94,365340
201010141500,300.95,301.39,300.65,301.34,459960
201010141515,301.34,301.6,301.12,301.36,375168
201010141530,301.37,301.8,301.36,301.74,467459
201010141545,301.73,302.3,301.7,302.27,1001016
201010141600,302.25,304.25,301.8,304.13,450362
201010141615,304.19,304.74,304,304.71,81452
201010141630,304.74,305.4,304.7,304.99,74064
201010141645,304.99,305.4,300.14,305.24,60097
201010150900,305.9,307.25,305.26,306.94,123885
201010150915,306.94,307.4,306.52,307.33,110879
201010150930,307.44,307.45,304.91,305.71,4271816
201010150945,305.71,307.08,305.5,306.92,1592687
201010151000,306.98,307.05,305.25,306.53,1711228
201010151015,306.56,306.66,305.66,306.42,1215899
201010151030,306.41,306.94,305.92,306.89,809666
201010151045,306.93,307.81,306.72,307.68,1071816
201010151100,307.68,308.93,307.3,308.81,1245681
201010151115,308.81,309.55,308.34,309.43,1715590
201010151130,309.42,310.47,309.42,309.87,1750078
201010151145,309.86,310.16,309.39,309.46,901332
201010151200,309.46,309.6,309.1,309.42,799339
201010151215,309.4,310.1,309.3,309.74,623750
201010151230,309.72,310,309.5,309.93,528450
201010151245,309.89,309.98,309.37,309.42,582334
201010151300,309.42,309.88,309.4,309.66,332925
201010151315,309.69,310.04,309.6,309.95,332798
201010151330,309.99,310.26,309.66,309.84,638468
201010151345,309.86,310.23,309.6,310.2,620596
201010151400,310.16,310.24,309.75,310.2,630151
201010151415,310.2,310.25,310.05,310.15,400698
201010151430,310.17,310.87,310.11,310.5,1059607
201010151445,310.51,310.87,310.5,310.79,671786
201010151500,310.78,310.82,310.15,310.3,908747
201010151515,310.31,310.75,310.23,310.67,663764
201010151530,310.68,312.26,310.6,311.87,1889904
201010151545,311.84,315,311.7,314.97,3637381
201010151600,315,315.47,314.5,314.91,796407
201010151615,314.91,315.35,314.84,315.3,38543
201010151630,315.25,315.74,315,315.74,47130
201010151645,315.66,315.99,315.5,315.9,96041
201010180900,318.75,318.85,318.4,318.64,85862
201010180915,318.63,318.91,318.15,318.47,124359
201010180930,318.47,319,314.29,317.06,5213210
201010180945,317.06,318.44,316.71,317.33,2294945
201010181000,317.35,317.5,316.1,316.93,1774456
201010181015,316.92,317.9,316.8,316.93,1292588
201010181030,316.92,317.02,316.33,316.73,1096100
201010181045,316.73,316.89,316.31,316.75,725887
201010181100,316.78,316.95,316.16,316.31,914940
201010181115,316.31,316.95,316,316.77,761880
201010181130,316.79,316.79,316,316.2,616332
201010181145,316.23,316.4,315.94,316.29,904249
201010181200,316.29,316.75,316.14,316.5,589112
201010181215,316.5,316.77,316.42,316.6,476111
201010181230,316.62,316.73,316.38,316.48,582425
201010181245,316.48,316.49,315,315.14,1309510
201010181300,315.13,315.7,315.08,315.59,934893
201010181315,315.6,315.9,315.39,315.66,640166
201010181330,315.67,315.75,315.49,315.51,524830
201010181345,315.51,315.59,314.44,314.58,1173260
201010181400,314.55,315.74,314.37,315.38,1011406
201010181415,315.39,316.3,315.29,315.88,1173683
201010181430,315.85,316.17,315.44,315.78,911947
201010181445,315.78,316.3,315.43,315.55,876032
201010181500,315.55,316.78,315.55,316.61,979977
201010181515,316.58,317.2,316.36,317.14,1164063
201010181530,317.16,317.88,317.14,317.61,1645391
201010181545,317.61,318.2,317.4,317.92,2651588
201010181600,317.99,318.46,313.01,316.62,309441
201010181615,316.6,317.24,315.88,316.2,56421
201010181630,317.9,317.9,315.88,316.2,32856
201010181645,300,318,292.75,297.85,2457447
201010190900,305.12,305.16,302.56,303.42,380208
201010190915,303.47,303.5,300.77,303.38,391220
201010190930,303.4,308,300.02,304.26,6732965
201010190945,304.24,308,304.19,307.5,3268852
201010191000,307.53,312.21,306.62,310.92,4529509
201010191015,310.86,313,310.77,312.01,2624331
201010191030,312.11,313.77,311.26,311.45,1992997
201010191045,311.47,312.91,311.4,311.72,1126375
201010191100,311.73,311.92,309.55,309.92,1731655
201010191115,309.9,310.45,309.41,309.9,901464
201010191130,309.88,311.55,309.85,311.31,947667
201010191145,311.34,312.36,311.02,311.72,986924
201010191200,311.78,312.7,311.6,312.15,809292
201010191215,312.14,312.49,311.06,311.48,586677
201010191230,311.49,312.22,311.07,312.08,520077
201010191245,312.09,312.12,311.39,312.07,534479
