date,open,high,low,close,volume
201010181300,315.13,315.9,315.08,315.66,1575059
201010181330,315.67,315.75,314.44,314.58,1698090
201010181400,314.55,316.3,314.37,315.88,2185089
201010181430,315.85,316.3,315.43,315.55,1787979
201010181500,315.55,317.2,315.55,317.14,2144040
201010181530,317.16,318.2,317.14,317.92,4296979
201010181600,317.99,318.46,313.01,316.2,365862
201010181630,317.9,318,292.75,297.85,2490303
201010190900,305.12,305.16,300.77,303.38,771428
201010190930,303.4,308,300.02,307.5,10001817
201010191000,307.53,313,306.62,312.01,7153840
201010191030,312.11,313.77,311.26,311.72,3119372
201010191100,311.73,311.92,309.41,309.9,2633119
201010191130,309.88,312.36,309.85,311.72,1934591
201010191200,311.78,312.7,311.06,311.48,1395969
201010191230,311.49,312.22,311.07,312.07,1054556
201010191300,312.09,312.1,310.3,310.31,1288118
201010191330,310.3,310.7,308.66,309.07,1786522
201010191400,309.07,309.12,306.68,307.89,3118059
201010191430,307.91,309.88,307.57,308.92,1805436
201010191500,308.97,309.23,307.2,307.37,1865206
201010191530,307.37,309.65,306.32,309.65,3055402
201010191600,309.5,309.69,309.15,309.28,256145
201010191630,309.2,309.29,308.32,308.7,24647
201010200900,308.77,309.36,308.53,308.99,56507
201010200930,309,310.8,307.91,308.88,3506373
201010201000,308.9,309.21,306.87,308.35,2310466
201010201030,308.32,310.17,307.9,309.63,2145070
201010201100,309.68,312.12,309.15,311.57,2053367
201010201130,311.54,313.5,311.52,312.49,1986488
201010201200,312.46,314.25,312.4,313.56,1713888
201010201230,313.58,313.86,312.6,312.82,930310
201010201300,312.82,313.44,312.05,313.2,1178675
201010201330,313.22,313.37,312.16,312.27,822528
201010201400,312.29,313.15,311.2,311.94,2157496
201010201430,311.97,312.7,311.7,312.26,1439807
201010201500,312.26,312.88,311.71,312.88,1345974
201010201530,312.86,312.92,309.92,310.53,2895603
201010201600,310.46,310.78,310.15,310.66,243897
201010201630,310.65,311.26,310.65,311.09,23113
201010210900,313.16,313.19,312.35,312.37,42149
201010210930,312.36,314.74,311.12,313.71,3326411
201010211000,313.59,314.3,312.6,313.15,2104888
201010211030,313.16,313.46,312.36,312.85,1096130
201010211100,312.83,313.31,311.44,311.76,1378497
201010211130,311.74,312.23,310.08,311.06,1502316
201010211200,311.05,311.13,310.27,310.69,629182
201010211230,310.64,310.67,309.01,310.2,1179182
201010211300,310.2,310.82,310.05,310.2,512574
201010211330,310.22,310.28,307.05,307.4,1589830
201010211400,307.47,308.44,306.8,307.96,1569532
201010211430,307.96,309.15,307.9,309.03,979896
201010211500,309.07,309.96,308.5,309.62,1170699
201010211530,309.61,309.95,308.6,309.39,1409571
201010211600,309.5,310.27,308.35,308.9,419313
201010211630,308.76,308.94,308.3,308.3,6803
201010220900,309,310.28,308.82,309.19,102543
201010220930,309.07,310.04,307.83,308.38,2173717
201010221000,308.39,308.39,307.13,307.9,1415535
201010221030,307.9,309.59,307.83,309.14,1018979
201010221100,309.1,309.5,308.2,308.44,820900
201010221130,308.47,309.26,308.2,308.2,663235
201010221200,308.21,308.74,308.1,308.66,642063
201010221230,308.65,308.71,308.02,308.22,456638
201010221300,308.17,308.5,307.9,308.33,533405
201010221330,308.35,308.39,307.5,307.61,583401
201010221400,307.63,309,307.5,308.92,720993
201010221430,308.86,308.9,308.26,308.31,662170
201010221500,308.31,308.49,307.63,307.89,818412
201010221530,307.87,308.04,306.3,307.88,1825459
201010221600,307.81,307.87,307.26,307.54,427418
201010221630,307.51,307.58,307.47,307.47,17321
201010250900,308.84,309.14,308.81,309.14,30650
201010250930,309.09,311.6,308.44,310.75,2748552
201010251000,310.75,311.36,310.04,311.07,1841154
201010251030,311.09,311.26,309.6,309.77,1323755
201010251100,309.8,310.2,309.03,310.12,871964
201010251130,310.09,310.41,309.86,310.09,479540
201010251200,310.05,310.15,309.56,309.78,387154
201010251230,309.79,310.29,309.61,309.82,319053
201010251300,309.8,310.5,309.73,310.18,315230
201010251330,310.22,310.71,310.12,310.45,542302
201010251400,310.45,310.72,310.32,310.59,378524
201010251430,310.59,310.8,309.9,310.23,747661
201010251500,310.21,310.45,309.56,310.01,1140656
201010251530,310.02,310.2,308.72,308.83,1608086
201010251600,308.84,309.1,308.57,308.69,639397
201010251630,308.69,308.84,308.62,308.72,11430
201010260900,307.34,307.4,306.46,306.99,69324
201010260930,306.87,307.2,305.65,306.41,2659658
201010261000,306.35,309.19,306.35,308.58,2094630
201010261030,308.58,309.3,308.42,309.02,1180907
201010261100,309.03,309.74,308.27,309.38,1062538
201010261130,309.33,309.64,309,309.41,666551
201010261200,309.41,309.59,309.02,309.18,570961
201010261230,309.24,309.36,308.7,309.03,367055
201010261300,309.04,309.32,308,308.01,826022
201010261330,308,308.54,307.48,307.76,628422
201010261400,307.69,308.21,307.44,308.18,560542
201010261430,308.18,308.49,307.86,308.01,483536
201010261500,308.02,308.44,307.53,307.86,803326
201010261530,307.87,308.24,307.6,308.06,972718
201010261600,308.05,309.16,307.71,307.94,524394
201010261630,307.96,307.98,307.2,307.4,44596
201010270900,308.25,308.31,307.25,307.61,58612
201010270930,307.65,309.9,306.82,308.11,2636733
201010271000,308.17,308.4,306.22,306.6,1542124
201010271030,306.65,307.38,306.14,306.18,993601
201010271100,306.27,306.73,305.6,306,1121067
201010271130,305.93,307,305.91,306.7,756287
201010271200,306.65,306.75,306.35,306.6,334184
201010271230,306.64,306.79,306.03,306.23,377794
201010271300,306.25,307.06,305.76,306.79,705054
201010271330,306.73,307.19,306.43,307.12,493848
201010271400,307.11,307.19,306.55,306.67,427759
201010271430,306.71,307.65,306.45,307.08,825177
201010271500,307.09,307.3,306.2,306.8,652024
201010271530,306.8,307.99,306.8,307.71,1442112
201010271600,307.83,307.83,306.8,307.32,410210
201010271630,307.37,307.39,303.8,306.36,476488
201010280900,307.78,308.49,307.47,307.98,56880
201010280930,307.95,308,305.43,305.84,2410307
201010281000,305.89,306.82,304.05,304.27,2048933
201010281030,304.31,304.68,303.42,303.83,1802726
201010281100,303.791,304.82,303.63,304.5639,957350
201010281130,304.51,304.54,303.84,303.9,550881
201010281200,303.87,303.88,302.63,302.93,1050010
201010281230,302.91,302.96,301.38,301.43,1397937
201010281300,301.39,303.75,300.9,303.38,2059324
201010281330,303.34,304,303.05,303.5,839700
201010281400,303.47,304.88,303.41,304.6101,1115205
201010281430,304.635,305.41,304.43,304.82,1128107
201010281500,304.82,305.63,304.45,305.23,1335756
201010281530,305.28,306.44,304.88,305.23,2161756
201010281600,305.24,305.7,304.92,305.21,275879
201010281630,305.3,305.59,305.3,305.59,17907
201010290900,305.25,305.42,304.22,304.23,35189
201010290930,304.23,305.88,304,304.415,1671954
201010291000,304.41,305.3,304.27,304.68,942217
201010291030,304.72,304.73,302.64,303.5,1178060
201010291100,303.43,303.63,302.55,302.555,767346
201010291130,302.55,302.74,302,302.56,1030907
201010291200,302.56,303.87,302.56,303.68,751945
201010291230,303.62,304.65,303.6,303.636,832226
201010291300,303.66,303.66,302.36,303.1,901105
201010291330,303.12,303.27,302.26,302.981,840998
201010291400,302.969,303.15,302.62,302.7,507583
201010291430,302.71,302.72,302.0201,302.13,733828
201010291500,302.112,302.49,301.5,302.346,1089798
201010291530,302.37,302.7499,300.88,300.88,2638504
201010291600,300.88,301,300.15,300.58,853607
201010291630,300.55,300.6,300.26,300.35,35339
201011010900,301.97,302.77,300.98,302.62,35533
201011010930,302.22,305.5,302.2,304.88,3262918
201011011000,304.899,305.6,304.52,304.9,1690285
201011011030,304.897,304.96,304.1,304.36,1124380
201011011100,304.3001,304.5,302.8,302.93,1650891
201011011130,302.8871,303.97,302.33,303.93,1309999
201011011200,303.94,304.37,303.5,304.1,759917
201011011230,304.07,304.2,303.5,303.8,417438
201011011300,303.8056,304.24,303.5,303.91,539001
201011011330,303.902,304.25,303.5,303.9,423825
201011011400,303.888,304.27,303.5,303.8104,530451
201011011430,303.86,304.03,303.2,303.7736,669476
201011011500,303.7601,303.8,302.5,303.4,1220472
201011011530,303.43,304.2,303.275,304.18,1030898
201011011600,304.19,304.37,303.75,304,231656
201011011630,304.06,304.18,304,304.14,5644
201011020900,306.02,307.4,306,307.03,123417
201011020930,307.09,309.65,306.95,308.8,2569541
201011021000,308.79,309.34,308.1,308.23,1509129
201011021030,308.3,308.7,307.1,308.36,1110213
201011021100,308.4,308.75,308.18,308.44,646177
201011021130,308.42,308.48,307.1,308.17,405449
201011021200,308.17,308.71,308.02,308.32,474534
201011021230,308.3,308.99,308.29,308.85,491813
201011021300,308.88,309.75,308.1,309.59,1142372
201011021330,309.56,310,309.1,309.99,982917
201011021400,309.99,310.19,309.01,309.11,1260875
201011021430,309.12,309.43,308.1,308.98,757142
201011021500,308.92,310,308.1,309.77,989958
201011021530,309.79,310.1,308.1,308.99,1085258
201011021600,308.99,309.74,308.1,309.38,1523800
201011021630,309.35,310.15,309.32,309.84,41534
201011030900,310.65,312,310.61,311.5,171976
201011030930,311.5,312,310.09,311.4,1973135
201011031000,311.4,312,310.1,311.41,1438902
201011031030,311.44,311.55,309.85,309.99,1188743
201011031100,309.97,310.55,309.1,309.64,896623
201011031130,309.64,309.87,309.03,309.65,932677
201011031200,309.69,309.8,309.04,309.55,453513
201011031230,309.59,310.22,309.1,309.98,447387
201011031300,309.98,310.71,309.1,310.43,610107
201011031330,310.42,310.5,309.1,309.95,500291
201011031400,309.96,310.55,309.21,309.83,566693
201011031430,309.87,312.15,308.53,311.85,3335030
201011031500,311.85,312.62,311.1,312.39,2078544
201011031530,312.37,312.88,311.6,312.22,1615509
